series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Location	Units	2014	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	URBAN	NOTAP	0		0	2014	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	RURAL	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	URBAN	NOTAP		0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	RURAL	NOTAP		0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	12	2.678164227	28.15940032	DZA	Algeria	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	20	1.576257417	42.54548611	AND	Andorra	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	URBAN	NOTAP	0		0	2014	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	24	17.57817062	-12.33724746	AGO	Angola	2	ANNUAL	RURAL	NOTAP	0		0	2014	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	URBAN	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	31	50.01064725	40.39229544	AZE	Azerbaijan	2	ANNUAL	RURAL	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	URBAN	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	32	-65.14563274	-35.19446255	ARG	Argentina	2	ANNUAL	RURAL	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	36	134.3499412	-25.57717202	AUS	Australia	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	40	14.14172472	47.58704857	AUT	Austria	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	44	-78.05111663	24.69546597	BHS	Bahamas	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	48	50.5490754	26.04407747	BHR	Bahrain	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	URBAN	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	50	89.17660788	22.86961622	BGD	Bangladesh	2	ANNUAL	RURAL	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	51	44.93839317	40.29499741	ARM	Armenia	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	52	-59.5346489	13.13648273	BRB	Barbados	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	56	4.660976456	50.64104975	BEL	Belgium	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	60	-64.78155012	32.27881922	BMU	Bermuda	2	ANNUAL	RURAL	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	URBAN	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	64	90.45098484	27.39598568	BTN	Bhutan	2	ANNUAL	RURAL	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	URBAN	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	2	ANNUAL	RURAL	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	URBAN	NOTAP		0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	2	ANNUAL	RURAL	NOTAP		0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	URBAN	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	72	23.81380223	-22.18810073	BWA	Botswana	2	ANNUAL	RURAL	NOTAP	0	0	0	2017	0	Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.	C
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	URBAN	NOTAP							
2017.Q2.G.01	ER_H2O_PARTICNA	Not applicable level of users/communities participating in planning programs in drinking-water supply	74	3.410732868	-54.43295905	BVT	Bouvet Island	2	ANNUAL	RURAL	NOTAP							
