series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2005	2010	2015	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PER_1000_POP	107.065073187662	46.5450139016879	23.9075545438736	23.6009267983571	2015	23.6009267983571	DHS 2000	E
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PER_1000_POP	0.03774626348931	0.00202140967268	0.00127316248422	0.00190354202027	2015	0.00190354202027	DHS 2000	E
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PER_1000_POP	315.596748411111	299.514497836257	114.230877578717	124.029155645354	2015	124.029155645354	DHS 2000	M
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PER_1000_POP	17.8610280286445	2.6849307289913	0.52201464251331	0	2015	0	DHS 2000	E
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PER_1000_POP	2.54757497769747	1.9874748792907	0.1484274932304	0	2015	0	DHS 2000	E
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PER_1000_POP	12.4915284138765	12.5906988739769	8.55373686884917	0.80146467261796	2015	0.80146467261796	DHS 2000	E
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PER_1000_POP	26.4225020851385	7.03964494579557	1.52203744180508	0.11020805305309	2015	0.11020805305309	DHS 2000	E
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PER_1000_POP	24.3252697277393	13.5623176708537	8.44211094633779	3.87471819595215	2015	3.87471819595215	DHS 2000	E
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PER_1000_POP	43.9779007696735	3.48069439549475	4.71453223836716	0.89488652024157	2015	0.89488652024157	DHS 2000	E
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PER_1000_POP	62.5872569457304	38.6862962563631	19.4385651465525	7.85896889106696	2015	7.85896889106696	DHS 2000	E
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PER_1000_POP	20.5013932995979	18.6530092138897	1.59111831762946	0.08544733302911	2015	0.08544733302911	DHS 2000	E
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PER_1000_POP	475.720203078474	470.491200697079	134.064001161955	66.9734644830217	2015	66.9734644830217	DHS 2000	E
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PER_1000_POP								
2017.Q2.G.01	SH_STA_MALR	Malaria incidence per 1,000 population, total (per 1,000 population)	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PER_1000_POP	78.2763584960158	78.0548878848329	79.6303761069786	11.7834293864676	2015	11.7834293864676	DHS 2000	E
