series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	4	66.02688198	33.83160199	AFG	Afghanistan	1	15+	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.05	0.05	0.048	2015	0.05	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	4	66.02688198	33.83160199	AFG	Afghanistan	2	15-49	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.05	0.05	0.05	0.06	0.06	0.06	0.056	2015	0.06	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	4	66.02688198	33.83160199	AFG	Afghanistan	3	ALLAGE	ANNUAL	FEMALE	PER_1000_UNINFECTED_POP	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.018	2015	0.02	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	4	66.02688198	33.83160199	AFG	Afghanistan	4	15-49	ANNUAL	FEMALE	PER_1000_UNINFECTED_POP	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	2015	0.03	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	4	66.02688198	33.83160199	AFG	Afghanistan	5	ALLAGE	ANNUAL	MALE	PER_1000_UNINFECTED_POP	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.038	2015	0.04	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	4	66.02688198	33.83160199	AFG	Afghanistan	6	15-49	ANNUAL	MALE	PER_1000_UNINFECTED_POP	0.04	0.04	0.05	0.05	0.05	0.05	0.05	0.06	0.06	0.07	0.07	0.07	0.07	0.08	0.08	0.08	0.076	2015	0.08	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	4	66.02688198	33.83160199	AFG	Afghanistan	7	<15Y	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2015	0	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	4	66.02688198	33.83160199	AFG	Afghanistan	8	ALLAGE	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.028	2015	0.03	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	8	20.06660928	41.13897007	ALB	Albania	1	15+	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	8	20.06660928	41.13897007	ALB	Albania	2	15-49	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	8	20.06660928	41.13897007	ALB	Albania	3	ALLAGE	ANNUAL	FEMALE	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	8	20.06660928	41.13897007	ALB	Albania	4	15-49	ANNUAL	FEMALE	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	8	20.06660928	41.13897007	ALB	Albania	5	ALLAGE	ANNUAL	MALE	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	8	20.06660928	41.13897007	ALB	Albania	6	15-49	ANNUAL	MALE	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	8	20.06660928	41.13897007	ALB	Albania	7	<15Y	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	8	20.06660928	41.13897007	ALB	Albania	8	ALLAGE	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	10	21.47585697	-80.40897662	ATA	Antarctica	1	15+	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	10	21.47585697	-80.40897662	ATA	Antarctica	2	15-49	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	10	21.47585697	-80.40897662	ATA	Antarctica	3	ALLAGE	ANNUAL	FEMALE	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	10	21.47585697	-80.40897662	ATA	Antarctica	4	15-49	ANNUAL	FEMALE	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	10	21.47585697	-80.40897662	ATA	Antarctica	5	ALLAGE	ANNUAL	MALE	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	10	21.47585697	-80.40897662	ATA	Antarctica	6	15-49	ANNUAL	MALE	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	10	21.47585697	-80.40897662	ATA	Antarctica	7	<15Y	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	10	21.47585697	-80.40897662	ATA	Antarctica	8	ALLAGE	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP																					
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	12	2.678164227	28.15940032	DZA	Algeria	1	15+	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.01	0.02	2015	0.01	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	12	2.678164227	28.15940032	DZA	Algeria	2	15-49	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.024	2015	0.02	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	12	2.678164227	28.15940032	DZA	Algeria	3	ALLAGE	ANNUAL	FEMALE	PER_1000_UNINFECTED_POP	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.014	2015	0.01	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	12	2.678164227	28.15940032	DZA	Algeria	4	15-49	ANNUAL	FEMALE	PER_1000_UNINFECTED_POP	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.024	2015	0.02	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	12	2.678164227	28.15940032	DZA	Algeria	5	ALLAGE	ANNUAL	MALE	PER_1000_UNINFECTED_POP	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.016	2015	0.01	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	12	2.678164227	28.15940032	DZA	Algeria	6	15-49	ANNUAL	MALE	PER_1000_UNINFECTED_POP	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.028	2015	0.02	UNAIDS	E
2017.Q2.G.01	SH_HIV_INCD	Number of new HIV infections per 1,000 uninfected population, total and by sex and age (per 1,000 uninfected population)	12	2.678164227	28.15940032	DZA	Algeria	7	<15Y	ANNUAL	BOTHSEX	PER_1000_UNINFECTED_POP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2015	0	UNAIDS	E
