geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2000	ANNUAL	CU_USD	1	2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2001	ANNUAL	CU_USD	1	2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2002	ANNUAL	CU_USD	1	2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2003	ANNUAL	CU_USD	1	2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2004	ANNUAL	CU_USD	1	2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2005	ANNUAL	CU_USD	1	2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2006	ANNUAL	CU_USD	1	2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2007	ANNUAL	CU_USD	1	2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2008	ANNUAL	CU_USD	1	2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2009	ANNUAL	CU_USD	1	2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2010	ANNUAL	CU_USD	1	2017.Q2.G.01	VC_DSR_GDPLS	Direct economic loss attributed to disasters, total (millions of current United States dollars)	66.02688198	33.83160199	2	AFG	Afghanistan					
