series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	NUMBER				207.38784	1788.77428	9876.08384	2560.08944	5619.35148	1935.16212	1980.49266	2040.49056	1628.84556	28003.7525	1406.25506	1237.09084	6793.91122	727.65688	167.81132	187.2348	5953.78404	32648.90342	579.54018	1266.65548	3682.3431	1824.39552	302.56394		1768.98951	2015	302.56394	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	NUMBER					341	10305.414818	124.904115	76	11894.949768	2420.110497	218	195	209	243	244	210			5806.358424	5.780823	1347.79504	4.780823	47.123292	1268.684938	26.027407			447.278545666667	2014	26.027407	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	NUMBER	4332.9	10371.6	32126.9	16935.5	24117.3	4074.7	10372.6	39997.7	78045	4265.8	23703.5	23756.6	21270.7	117807.4	16710.4	5600.7	42952.3	119540.3	6524.1	39976.2									2009	39976.2	UNISDR (2015). Global Assessment Report on Disaster Risk Reduction 2015, Geneva, Switzerland: United Nations Office for Disaster Risk Reduction	E
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	NUMBER																																
2017.Q2.G.01	VC_DSR_AFFCT	Number of people affected by disaster, total (number)	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	NUMBER																																
