series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Sex	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	4	66.02688198	33.83160199	AFG	Afghanistan	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	MALE	PERCENT												0.347222					0.347222	2011	0.347222	Albanian time use survey (ATUS) 2010-2011	CA
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	8	20.06660928	41.13897007	ALB	Albania	2	ANNUAL	FEMALE	PERCENT												2.986111					2.986111	2011	2.986111	Albanian time use survey (ATUS) 2010-2011	CA
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	10	21.47585697	-80.40897662	ATA	Antarctica	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	MALE	PERCENT													0.833333				0.833333	2012	0.833333	National Survey on time use of Algerians – ENET 2012	CA
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	12	2.678164227	28.15940032	DZA	Algeria	2	ANNUAL	FEMALE	PERCENT													2.083333				2.083333	2012	2.083333	National Survey on time use of Algerians – ENET 2012	CA
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	20	1.576257417	42.54548611	AND	Andorra	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	MALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	24	17.57817062	-12.33724746	AGO	Angola	2	ANNUAL	FEMALE	PERCENT																					
2017.Q2.G.01	SL_DOM_TSPDCW	Proportion of time spent on unpaid care work	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	MALE	PERCENT																					
