geoAreaCode	years	Age	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	66.02688198	33.83160199	2	AFG	Afghanistan	0.5	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
8	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	20.06660928	41.13897007	6	ALB	Albania	5.7	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
10	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	2.678164227	28.15940032	66	DZA	Algeria	1	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
16	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	1.576257417	42.54548611	7	AND	Andorra	10.5	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
24	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	17.57817062	-12.33724746	3	AGO	Angola	10.8	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
28	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	5.4	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
31	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	50.01064725	40.39229544	19	AZE	Azerbaijan	4	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
32	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	-65.14563274	-35.19446255	10	ARG	Argentina	9.1	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
36	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	134.3499412	-25.57717202	17	AUS	Australia	11.2	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
40	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	14.14172472	47.58704857	18	AUT	Austria	10.6	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
44	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	-78.05111663	24.69546597	27	BHS	Bahamas	5.4	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
48	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	50.5490754	26.04407747	26	BHR	Bahrain	0.9	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
50	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	89.17660788	22.86961622	24	BGD	Bangladesh	0.2	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
51	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	44.93839317	40.29499741	11	ARM	Armenia	5.4	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
52	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	-59.5346489	13.13648273	35	BRB	Barbados	7.8	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
56	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	4.660976456	50.64104975	21	BEL	Belgium	13.2	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
60	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	-64.78155012	32.27881922	32	BMU	Bermuda					
64	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	90.45098484	27.39598568	37	BTN	Bhutan	0.5	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
68	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	5.9	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
70	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	5.9	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
72	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	23.81380223	-22.18810073	39	BWA	Botswana	8.2	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
74	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	3.410732868	-54.43295905	38	BVT	Bouvet Island					
76	2016	15+	ANNUAL	LTPUREAL	1	2017.Q2.G.01	SH_ALC_CONSPT	Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol	-53.08432878	-10.77668561	34	BRA	Brazil	8.9	Float		WHO Global Information System on Alcohol and Health (GISAH), 2017	E
