series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	ER_RSK_LST	Red List Index	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	0.84065526358971	0.84053328370606	0.84032755555556	0.84012131111111	0.83988603333333	0.83966796111111	0.8393369	0.83903663333333	0.8387062125	0.83843425416667	0.83816089166667	0.83802789722222	0.83785065555556	0.837802375	0.83789167916667	0.83785654639587	0.83781285937892	0.83772720572195	0.83768571555047	0.83761804168227	0.83753243310435	0.83744716588026	0.83735360833989	0.8372787084488	0.83723977603785	0.83737033836223	2017	0.83723977603785	BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2017.Q2.G.01	ER_RSK_LST	Red List Index	4	66.02688198	33.83160199	AFG	Afghanistan	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	0.830004857950506	0.830441705571792	0.8308080320164	0.831199118119956	0.831393475864798	0.831235584444444	0.831704903055556	0.831545360416667	0.831443208194444	0.831100101666667	0.830965650138889	0.830317248194444	0.829237504305556	0.828248929722222	0.827761825	0.82735026125	0.825862189143467	0.825186001438367	0.823989351242168	0.823589911750167	0.821992886773977	0.821666298331876	0.819885179363796	0.819319771660531	0.817401375164134	0.820053102258863	2017	0.817401375164134	BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2017.Q2.G.01	ER_RSK_LST	Red List Index	4	66.02688198	33.83160199	AFG	Afghanistan	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	0.843296238353409	0.842319318123103	0.841470056092852	0.840776550432791	0.840460335919135	0.840224433333333	0.8400262	0.839857	0.8396878	0.839452522222222	0.839149744444444	0.838846966666667	0.838508036111111	0.838372527777778	0.838273930555556	0.838217712688047	0.838336775129665	0.838520512517895	0.83893314858225	0.839390020245425	0.839660205179014	0.840582637542768	0.840892702221675	0.841214942979151	0.84198291694666	0.840866680973854	2017	0.84198291694666	BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2017.Q2.G.01	ER_RSK_LST	Red List Index	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	0.91496790350267	0.91136627825784	0.90945786531407	0.90558481073462	0.90285099926527	0.899966475	0.89733548229167	0.89540393072917	0.8918421875	0.889333353125	0.8868263375	0.88606132089318	0.88349285580036	0.88158434731969	0.879441815296	0.87745480849557	0.87470570072535	0.87186310619242	0.86934961611531	0.8665363686362	0.86454181747679	0.86220517548418	0.85937204965556	0.8564443595793	0.8546445487344	0.859441590186046	2017	0.8546445487344	BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2017.Q2.G.01	ER_RSK_LST	Red List Index	8	20.06660928	41.13897007	ALB	Albania	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	0.891665323830546	0.890184269165804	0.890711300718076	0.885848431676223	0.886247609000245	0.885011108541667	0.882980877604167	0.88229848515625	0.879330006770833	0.874890925	0.873318977291667	0.870974525832853	0.867509928803051	0.863012490705872	0.860598865949109	0.854617742566388	0.852183306599015	0.845885354716511	0.841259340743819	0.83792150769733	0.832816511764795	0.828012957953417	0.822957936178501	0.818370890054249	0.814180074759169	0.823267674142026	2017	0.814180074759169	BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2017.Q2.G.01	ER_RSK_LST	Red List Index	8	20.06660928	41.13897007	ALB	Albania	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	0.92070731777227	0.91782179859361	0.915073636088917	0.912163107604167	0.909500866331927	0.906913677708333	0.904372632291667	0.901781465833333	0.899243503125	0.8967137715625	0.894150806354167	0.891644050625	0.889171610625	0.886717417773588	0.886528716421543	0.8867444500124	0.887094310583308	0.8874798387419	0.888128469509868	0.88821618467821	0.888433510917906	0.88930540755742	0.889913139105315	0.890193306861485	0.890036500186118	0.889576372925649	2017	0.890036500186118	BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2017.Q2.G.01	ER_RSK_LST	Red List Index	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	0.91524042199974	0.91534631492224	0.91571029711045	0.91566850857029	0.91545296362833	0.91541402083333	0.91537258125	0.91519734375	0.91516879583333	0.91508559375	0.91549103958333	0.91629335	0.91751769791667	0.91854275416667	0.91993228125	0.92110080505815	0.92216964930352	0.92283325447821	0.92354393204039	0.92424019743113	0.92467128873279	0.92554544960352	0.92595354089163	0.92625048933954	0.92633272470287	0.92575069865407	2017	0.92633272470287	BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2017.Q2.G.01	ER_RSK_LST	Red List Index	10	21.47585697	-80.40897662	ATA	Antarctica	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	LB	0.882937750327544	0.884677624416834	0.88820807938294	0.890288707488771	0.892854460195471	0.895448238125	0.896473711666667	0.897892169375	0.899354920208333	0.900893132708333	0.900475510208333	0.901521208125	0.901141605	0.901322812083333	0.901973433254307	0.901638005833333	0.900733900453384	0.900185590993286	0.898067072696784	0.897130703259594	0.896205933484918	0.894244911245148	0.892802731352152	0.890723815505938	0.889348257080025	0.892665129733636	2017	0.889348257080025	BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2017.Q2.G.01	ER_RSK_LST	Red List Index	10	21.47585697	-80.40897662	ATA	Antarctica	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	UB	0.933401282304548	0.932365691481031	0.931743677916667	0.930308036224458	0.929518730625	0.928938729583333	0.927572609583333	0.92713754375	0.92704559625	0.92704257375	0.927389567083333	0.928210643333333	0.929432057083333	0.931386702708333	0.9338492975	0.93514371233701	0.937859069102509	0.940527939826911	0.942272679876514	0.945054630488426	0.94818061260956	0.952689401690587	0.956144982044609	0.960238989016354	0.963970888469326	0.956244974766087	2017	0.963970888469326	BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
2017.Q2.G.01	ER_RSK_LST	Red List Index	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	NOTAP	MP	0.90946779974139	0.90907130519474	0.90875865389404	0.9084621625	0.90820740416667	0.90791893333333	0.90760765625	0.9071589625	0.90674157708333	0.90637031354167	0.906152884375	0.90588741354167	0.90574264479167	0.9057406	0.90569000422872	0.9056280625	0.90554500752013	0.90542813800445	0.90527374286384	0.90512924048028	0.90496125248021	0.90480284679291	0.90466934542063	0.90455961043414	0.90439069142567	0.904676749310712	2017	0.90439069142567	BirdLife International and IUCN (2017), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.	E
