series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	1.686173	1.827399	1.360283	1.325028	1.143996	1.267647	1.408623	1.460938	2.14759	2.61706	2.939937	3.755923	2.984757	2.751182	2.637533	3.0138664	2014	2.637533	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	4.705437	4.443339	4.696961	4.344377	4.517187	4.275717	3.958693	3.5683	3.442663	3.409105	3.256748	3.322801	2.941324	3.382528	3.338774	3.248435	2014	3.338774	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	3.549441	3.453076	3.497748	3.467579	3.36593	3.309822	3.484977	3.576548	3.533948	3.804012	3.610868	3.660625	3.891394	3.918351	4.099634	3.8361744	2014	4.099634	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD																				
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	5.218281	5.227248	5.876513	6.02512	5.590728	4.568535	4.151634	3.612273	3.435368	3.645428	3.697914	3.695968	3.857078	3.615594	3.645251	3.702361	2014	3.645251	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	3.371332	3.512185	3.640217	3.708226	3.675155	3.53652	3.249177	3.116335	3.190454	3.828722	4.181389	4.184252	4.137797	4.152175	4.011551	4.1334328	2014	4.011551	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	13.17761	12.148659	11.094533	10.494053	10.013986	8.319655	6.096061	4.462594	4.431084	3.628638	3.358711	3.639167	3.881321	3.719211	3.762406	3.6721632	2014	3.762406	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	4.660004	4.637306	5.058087	4.972668	4.982357	4.603108	4.630749	4.30281	4.352852	4.503319	4.251182	4.100576	4.158853	4.175142	4.470668	4.2312842	2014	4.470668	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	6.704754	6.434318	6.412699	6.297904	6.149719	6.001137	6.06831	6.04909	6.048629	5.960419	5.863813	5.75966	5.488348	5.346125	5.16467	5.5245232	2014	5.16467	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	3.87049	4.035369	4.005342	4.206381	4.156259	4.176706	4.054619	3.868619	3.833558	3.763536	3.947797	3.729968	3.685536	3.726139	3.593459	3.7365798	2014	3.593459	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	3.000753	2.768691	2.710189	2.670321	2.999905	3.014129	2.821683	2.844703	2.566425	2.969592	2.937503	3.262129	3.388624	4.739871	4.027369	3.6710992	2014	4.027369	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	11.078381	11.107653	11.115557	11.122523	10.436212	11.223531	11.293341	10.912171	11.134217	10.545945	10.449199	10.237014	9.794221	10.138827	10.026529	10.129158	2014	10.026529	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
2017.Q2.G.01	EG_EGY_PRIM	Energy intensity level of primary energy	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	MJ_PER_GDP_CON_PPP_USD	3.538938	3.684131	3.632887	3.654838	3.537153	3.447571	3.462798	3.379237	3.345618	3.350707	3.437325	3.349424	3.299578	3.178494	3.129437	3.2788516	2014	3.129437	Source: International Energy Agency, United Nations Statistics, World Development Indicators	E
