geoAreaCode	years	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2000	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2006	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2009	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2013	ANNUAL	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan					
8	2000	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	2006	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	2009	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
8	2013	ANNUAL	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania					
10	2000	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2006	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2009	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2013	ANNUAL	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica					
12	2000	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	2006	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	2009	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
12	2013	ANNUAL	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria					
16	2000	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2006	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2009	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
16	2013	ANNUAL	PERCENT	1	-170.7187269	-14.30587306	12	ASM	American Samoa					
20	2000	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
20	2006	ANNUAL	PERCENT	1	1.576257417	42.54548611	7	AND	Andorra					
