series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	4	66.02688198	33.83160199	AFG	Afghanistan	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	4	66.02688198	33.83160199	AFG	Afghanistan	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	8	20.06660928	41.13897007	ALB	Albania	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	8	20.06660928	41.13897007	ALB	Albania	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	10	21.47585697	-80.40897662	ATA	Antarctica	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	10	21.47585697	-80.40897662	ATA	Antarctica	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	12	2.678164227	28.15940032	DZA	Algeria	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	12	2.678164227	28.15940032	DZA	Algeria	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	16	-170.7187269	-14.30587306	ASM	American Samoa	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	20	1.576257417	42.54548611	AND	Andorra	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	20	1.576257417	42.54548611	AND	Andorra	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	24	17.57817062	-12.33724746	AGO	Angola	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	24	17.57817062	-12.33724746	AGO	Angola	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	31	50.01064725	40.39229544	AZE	Azerbaijan	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	31	50.01064725	40.39229544	AZE	Azerbaijan	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP	61.536736		61.536736	2013	61.536736	Third Regional Comparative and Explanatory Study (TERCE)	C
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	32	-65.14563274	-35.19446255	ARG	Argentina	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP	56.343098		56.343098	2013	56.343098	Third Regional Comparative and Explanatory Study (TERCE)	C
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	32	-65.14563274	-35.19446255	ARG	Argentina	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP	66.725433		66.725433	2013	66.725433	Third Regional Comparative and Explanatory Study (TERCE)	C
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	36	134.3499412	-25.57717202	AUS	Australia	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	36	134.3499412	-25.57717202	AUS	Australia	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	40	14.14172472	47.58704857	AUT	Austria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	40	14.14172472	47.58704857	AUT	Austria	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	40	14.14172472	47.58704857	AUT	Austria	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	44	-78.05111663	24.69546597	BHS	Bahamas	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	44	-78.05111663	24.69546597	BHS	Bahamas	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	48	50.5490754	26.04407747	BHR	Bahrain	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	48	50.5490754	26.04407747	BHR	Bahrain	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	50	89.17660788	22.86961622	BGD	Bangladesh	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	50	89.17660788	22.86961622	BGD	Bangladesh	2	ALLAGE	ANNUAL	ALLAREA	MALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	50	89.17660788	22.86961622	BGD	Bangladesh	3	ALLAGE	ANNUAL	ALLAREA	FEMALE	PERCENT	MP							
2017.Q2.G.01	SE_G23_RDG	Proportion of children inÂ grades 2/3 achieving at least a minimum proficiency level in reading	51	44.93839317	40.29499741	ARM	Armenia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PERCENT	MP							
