series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	2011	2012	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SE_LSC_GPIMATH	Gender parity index for achievement in mathematics by the end of lower secondary	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP								
2017.Q2.G.01	SE_LSC_GPIMATH	Gender parity index for achievement in mathematics by the end of lower secondary	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP		1.018223	1.093822	1.0560225	2015	1.093822	Programme for International Student Assessment (PISA)	C
2017.Q2.G.01	SE_LSC_GPIMATH	Gender parity index for achievement in mathematics by the end of lower secondary	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP								
2017.Q2.G.01	SE_LSC_GPIMATH	Gender parity index for achievement in mathematics by the end of lower secondary	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP			1.184922	1.184922	2015	1.184922	Programme for International Student Assessment (PISA)	C
2017.Q2.G.01	SE_LSC_GPIMATH	Gender parity index for achievement in mathematics by the end of lower secondary	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP								
2017.Q2.G.01	SE_LSC_GPIMATH	Gender parity index for achievement in mathematics by the end of lower secondary	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP								
2017.Q2.G.01	SE_LSC_GPIMATH	Gender parity index for achievement in mathematics by the end of lower secondary	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP								
2017.Q2.G.01	SE_LSC_GPIMATH	Gender parity index for achievement in mathematics by the end of lower secondary	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP								
2017.Q2.G.01	SE_LSC_GPIMATH	Gender parity index for achievement in mathematics by the end of lower secondary	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP								
2017.Q2.G.01	SE_LSC_GPIMATH	Gender parity index for achievement in mathematics by the end of lower secondary	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	Ratio	MP		0.819437		0.819437	2012	0.819437	Programme for International Student Assessment (PISA)	C
