series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	4	66.02688198	33.83160199	AFG	Afghanistan	1	ANNUAL	PER_100000_POP	3.51545927687325	4.27294548294298	6.55300874433083				5.41297711363691	2012	6.55300874433083	National Statistical Office	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	8	20.06660928	41.13897007	ALB	Albania	1	ANNUAL	PER_100000_POP	4.37646865845384	4.9202878714904	5.4501266546949	4.30065609283313	4.04889683134026	2.27847131145702	4.19968775236314	2015	2.27847131145702	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	10	21.47585697	-80.40897662	ATA	Antarctica	1	ANNUAL	PER_100000_POP											
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	12	2.678164227	28.15940032	DZA	Algeria	1	ANNUAL	PER_100000_POP	0.704847594883794	0.762586794633089	1.39692308859321	1.25700074123762	1.48198245795087	1.36639164127308	1.25297694473758	2015	1.36639164127308	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ANNUAL	PER_100000_POP											
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	20	1.576257417	42.54548611	AND	Andorra	1	ANNUAL	PER_100000_POP	1.18456745519374	1.21468308918203	0	0	0	0	0.242936617836407	2015	0	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	24	17.57817062	-12.33724746	AGO	Angola	1	ANNUAL	PER_100000_POP	10.4947543875449					9.64950468544168	9.64950468544168	2015	9.64950468544168	World Health Organization	M
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ANNUAL	PER_100000_POP	6.87813098254101		11.2272507831007				11.2272507831007	2012	11.2272507831007	Organzation of American States	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ANNUAL	PER_100000_POP	2.13189319918377		2.15777916241208	2.32692911900147	2.45073121615771		2.31181316585709	2014	2.45073121615771	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	32	-65.14563274	-35.19446255	ARG	Argentina	1	ANNUAL	PER_100000_POP					7.50813878055821	6.53434371131606	7.02124124593713	2015	6.53434371131606	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	36	134.3499412	-25.57717202	AUS	Australia	1	ANNUAL	PER_100000_POP	1.04228411284228	1.10015046775692	1.06060854051754	1.05283671813176	1.02868668502244	0.984606224054739	1.04537772709668	2015	0.984606224054739	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	40	14.14172472	47.58704857	AUT	Austria	1	ANNUAL	PER_100000_POP	0.691135566718057	0.890360001039941	0.93430565774113	0.706966756773507	0.493136247909455	0.514945955251665	0.70794292374314	2015	0.514945955251665	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	44	-78.05111663	24.69546597	BHS	Bahamas	1	ANNUAL	PER_100000_POP	26.0510489704293	34.632176291412	29.8076200092377				32.2198981503249	2012	29.8076200092377	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	48	50.5490754	26.04407747	BHR	Bahrain	1	ANNUAL	PER_100000_POP	0.872102933516422	0.535982003255708					0.535982003255708	2011	0.535982003255708	National Police	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	50	89.17660788	22.86961622	BGD	Bangladesh	1	ANNUAL	PER_100000_POP	2.63031577303612	2.58530307222398	2.64979340403301	2.7952868701806	2.83761036671475	2.50627902089424	2.67485454680932	2015	2.50627902089424	National Police	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	51	44.93839317	40.29499741	ARM	Armenia	1	ANNUAL	PER_100000_POP	1.88966005015698	2.39219618434601	2.18242449902446	1.97179860115928	2.39508687845001	2.45218894314633	2.27873902122522	2015	2.45218894314633	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	52	-59.5346489	13.13648273	BRB	Barbados	1	ANNUAL	PER_100000_POP	11.088615926114	9.62216947847842	7.81305490446765	8.49548500369908	8.82207636389301	10.9072357194378	9.13200429399518	2015	10.9072357194378	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	56	4.660976456	50.64104975	BEL	Belgium	1	ANNUAL	PER_100000_POP	1.72918920788313	1.94453972790074	1.85026049411342	1.8380503683184	1.85278847337534	1.94704187697669	1.88653618813692	2015	1.94704187697669	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	60	-64.78155012	32.27881922	BMU	Bermuda	1	ANNUAL	PER_100000_POP	10.9453669825187	12.5829689515241	9.49682647715222	7.96520797158014	6.41272284211876	6.45119669698729	8.58178458787251	2015	6.45119669698729	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	64	90.45098484	27.39598568	BTN	Bhutan	1	ANNUAL	PER_100000_POP	1.94378031950195	3.00445478705244	3.89936413472438	2.51776682033879	2.74506933260829		3.04166376868097	2014	2.74506933260829	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	68	-64.66224284	-16.71273412	BOL	Bolivia (Plurinational State of)	1	ANNUAL	PER_100000_POP	10.6067152001186	10.2101180781799	12.4038433552806				11.3069807167303	2012	12.4038433552806	National Police	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	70	17.78584332	44.16845548	BIH	Bosnia and Herzegovina	1	ANNUAL	PER_100000_POP	1.46013644975123	1.33079004569046	1.64558790456321	1.20307579403656	1.30973916806416	1.49589966029956	1.39701851453079	2015	1.49589966029956	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	72	23.81380223	-22.18810073	BWA	Botswana	1	ANNUAL	PER_100000_POP	14.7961428457719	10.527796733129					10.527796733129	2011	10.527796733129	Global Status Report on Violence Prevention	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	74	3.410732868	-54.43295905	BVT	Bouvet Island	1	ANNUAL	PER_100000_POP											
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	76	-53.08432878	-10.77668561	BRA	Brazil	1	ANNUAL	PER_100000_POP	21.78696098116	23.979941828942	26.2122454535731	26.5167752861598	27.7036016739651	26.7378691172117	26.2300866719704	2015	26.7378691172117	Anuario Brasileiro de Seguranca Publica	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	84	-88.70199554	17.19965901	BLZ	Belize	1	ANNUAL	PER_100000_POP	40.1108177942781	37.6678726461377	43.0641477605158	28.7629324245409	34.4037349377036		35.9746719422245	2014	34.4037349377036	Organzation of American States	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	ANNUAL	PER_100000_POP											
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	ANNUAL	PER_100000_POP											
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	ANNUAL	PER_100000_POP											
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	ANNUAL	PER_100000_POP	0.25425754255			0.48602791258302			0.48602791258302	2013	0.48602791258302	Global Status Report on Violence Prevention	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	100	25.23763153	42.75731323	BGR	Bulgaria	1	ANNUAL	PER_100000_POP	1.99802978063388	1.7402580557973	1.93051752519702	1.50292194223292	1.61081847908741	1.80424955316851	1.71775311109663	2015	1.80424955316851	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	104	96.51752295	21.19332882	MMR	Myanmar	1	ANNUAL	PER_100000_POP	1.54833432957017	2.02396485660324	2.73295589486882	2.3592103922878	2.52258919677972	2.41942273983521	2.41162861607496	2015	2.41942273983521	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	108	29.89080992	-3.366387428	BDI	Burundi	1	ANNUAL	PER_100000_POP	3.66764304891272	3.56480712095248	4.45450928691109	3.97479103443841	4.03074459686083		4.0062130097907	2014	4.03074459686083	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
2017.Q2.G.01	VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population	112	28.04940161	53.54193075	BLR	Belarus	1	ANNUAL	PER_100000_POP	5.12003533035079	3.93141669918254	3.58235550832466	3.50626188891278	3.57878839487341		3.64970562282335	2014	3.57878839487341	United Nations Survey on Crime Trends and Operations of Criminal Justice System	C
