geoAreaCode	years	Freq	Sex	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2000	ANNUAL	FEMALE	PER_100000_POP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	1.654	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
4	2005	ANNUAL	FEMALE	PER_100000_POP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	1.964	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
4	2010	ANNUAL	FEMALE	PER_100000_POP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	2.158	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
4	2015	ANNUAL	FEMALE	PER_100000_POP	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	2.545	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
4	2000	ANNUAL	MALE	PER_100000_POP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	7.810	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
4	2005	ANNUAL	MALE	PER_100000_POP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	8.575	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
4	2010	ANNUAL	MALE	PER_100000_POP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	7.981	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
4	2015	ANNUAL	MALE	PER_100000_POP	2	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	8.316	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
4	2000	ANNUAL	BOTHSEX	PER_100000_POP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	4.824	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
4	2005	ANNUAL	BOTHSEX	PER_100000_POP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	5.382	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
4	2010	ANNUAL	BOTHSEX	PER_100000_POP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	5.150	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
4	2015	ANNUAL	BOTHSEX	PER_100000_POP	3	66.02688198	33.83160199	2	AFG	Afghanistan	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	5.521	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
8	2000	ANNUAL	FEMALE	PER_100000_POP	1	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	3.015	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
8	2005	ANNUAL	FEMALE	PER_100000_POP	1	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	3.639	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
8	2010	ANNUAL	FEMALE	PER_100000_POP	1	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	2.956	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
8	2015	ANNUAL	FEMALE	PER_100000_POP	1	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	2.719	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
8	2000	ANNUAL	MALE	PER_100000_POP	2	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	8.938	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
8	2005	ANNUAL	MALE	PER_100000_POP	2	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	8.968	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
8	2010	ANNUAL	MALE	PER_100000_POP	2	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	7.579	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
8	2015	ANNUAL	MALE	PER_100000_POP	2	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	5.852	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
8	2000	ANNUAL	BOTHSEX	PER_100000_POP	3	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	6.008	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
8	2005	ANNUAL	BOTHSEX	PER_100000_POP	3	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	6.317	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
8	2010	ANNUAL	BOTHSEX	PER_100000_POP	3	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	5.286	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
8	2015	ANNUAL	BOTHSEX	PER_100000_POP	3	20.06660928	41.13897007	6	ALB	Albania	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	4.273	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	E
10	2000	ANNUAL	FEMALE	PER_100000_POP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2005	ANNUAL	FEMALE	PER_100000_POP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2010	ANNUAL	FEMALE	PER_100000_POP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	ANNUAL	FEMALE	PER_100000_POP	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2000	ANNUAL	MALE	PER_100000_POP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2005	ANNUAL	MALE	PER_100000_POP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2010	ANNUAL	MALE	PER_100000_POP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	ANNUAL	MALE	PER_100000_POP	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2000	ANNUAL	BOTHSEX	PER_100000_POP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2005	ANNUAL	BOTHSEX	PER_100000_POP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2010	ANNUAL	BOTHSEX	PER_100000_POP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	ANNUAL	BOTHSEX	PER_100000_POP	3	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2000	ANNUAL	FEMALE	PER_100000_POP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	2.028	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
12	2005	ANNUAL	FEMALE	PER_100000_POP	1	2.678164227	28.15940032	66	DZA	Algeria	SH_STA_SCIDE	Suicide mortality rate, total and by sex (deaths per 100,000 population)	2.054	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization; 2016.	M
