series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2012	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	4	66.02688198	33.83160199	AFG	Afghanistan	1	16-65	ANNUAL	BOTHSEX	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	4	66.02688198	33.83160199	AFG	Afghanistan	2	16-65	ANNUAL	MALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	4	66.02688198	33.83160199	AFG	Afghanistan	3	16-65	ANNUAL	FEMALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	8	20.06660928	41.13897007	ALB	Albania	1	16-65	ANNUAL	BOTHSEX	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	8	20.06660928	41.13897007	ALB	Albania	2	16-65	ANNUAL	MALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	8	20.06660928	41.13897007	ALB	Albania	3	16-65	ANNUAL	FEMALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	10	21.47585697	-80.40897662	ATA	Antarctica	1	16-65	ANNUAL	BOTHSEX	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	10	21.47585697	-80.40897662	ATA	Antarctica	2	16-65	ANNUAL	MALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	10	21.47585697	-80.40897662	ATA	Antarctica	3	16-65	ANNUAL	FEMALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	12	2.678164227	28.15940032	DZA	Algeria	1	16-65	ANNUAL	BOTHSEX	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	12	2.678164227	28.15940032	DZA	Algeria	2	16-65	ANNUAL	MALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	12	2.678164227	28.15940032	DZA	Algeria	3	16-65	ANNUAL	FEMALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	16	-170.7187269	-14.30587306	ASM	American Samoa	1	16-65	ANNUAL	BOTHSEX	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	16	-170.7187269	-14.30587306	ASM	American Samoa	2	16-65	ANNUAL	MALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	16	-170.7187269	-14.30587306	ASM	American Samoa	3	16-65	ANNUAL	FEMALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	20	1.576257417	42.54548611	AND	Andorra	1	16-65	ANNUAL	BOTHSEX	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	20	1.576257417	42.54548611	AND	Andorra	2	16-65	ANNUAL	MALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	20	1.576257417	42.54548611	AND	Andorra	3	16-65	ANNUAL	FEMALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	24	17.57817062	-12.33724746	AGO	Angola	1	16-65	ANNUAL	BOTHSEX	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	24	17.57817062	-12.33724746	AGO	Angola	2	16-65	ANNUAL	MALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	24	17.57817062	-12.33724746	AGO	Angola	3	16-65	ANNUAL	FEMALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	16-65	ANNUAL	BOTHSEX	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	16-65	ANNUAL	MALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	16-65	ANNUAL	FEMALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	31	50.01064725	40.39229544	AZE	Azerbaijan	1	16-65	ANNUAL	BOTHSEX	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	31	50.01064725	40.39229544	AZE	Azerbaijan	2	16-65	ANNUAL	MALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	31	50.01064725	40.39229544	AZE	Azerbaijan	3	16-65	ANNUAL	FEMALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	32	-65.14563274	-35.19446255	ARG	Argentina	1	16-65	ANNUAL	BOTHSEX	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	32	-65.14563274	-35.19446255	ARG	Argentina	2	16-65	ANNUAL	MALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	32	-65.14563274	-35.19446255	ARG	Argentina	3	16-65	ANNUAL	FEMALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	36	134.3499412	-25.57717202	AUS	Australia	1	16-65	ANNUAL	BOTHSEX	PERCENT	94.159032		94.159032	2012	94.159032	Programme for the International Assessment of Adult Competencies (PIAAC)	C
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	36	134.3499412	-25.57717202	AUS	Australia	2	16-65	ANNUAL	MALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	36	134.3499412	-25.57717202	AUS	Australia	3	16-65	ANNUAL	FEMALE	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	40	14.14172472	47.58704857	AUT	Austria	1	16-65	ANNUAL	BOTHSEX	PERCENT	96.535222		96.535222	2012	96.535222	Programme for the International Assessment of Adult Competencies (PIAAC)	C
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	40	14.14172472	47.58704857	AUT	Austria	2	16-65	ANNUAL	MALE	PERCENT	96.7400309058		96.7400309058	2012	96.7400309058	PIAAC (Programme for the International Assessment of Adult Competencies)	C
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	40	14.14172472	47.58704857	AUT	Austria	3	16-65	ANNUAL	FEMALE	PERCENT	96.331589989		96.331589989	2012	96.331589989	PIAAC (Programme for the International Assessment of Adult Competencies)	C
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	44	-78.05111663	24.69546597	BHS	Bahamas	1	16-65	ANNUAL	BOTHSEX	PERCENT							
2017.Q2.G.01	SE_ADT_NMRCY	Proportion of population in a given age group achieving at least a fixed level of proficiency in functional literacy skills	44	-78.05111663	24.69546597	BHS	Bahamas	2	16-65	ANNUAL	MALE	PERCENT							
