geoAreaCode	years	Age	Freq	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source
4	2000	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	89393	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2001	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	89702	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2002	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	90059	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2003	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	90292	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2004	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	89873	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2005	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	88704	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2006	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	88007	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2007	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	86945	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2008	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	85513	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2009	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	83723	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2010	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	81775	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2011	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	78764	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2012	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	75586	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2013	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	72378	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2014	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	69579	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
4	2015	<1Y	ANNUAL	NUMBER	1	66.02688198	33.83160199	2	AFG	Afghanistan	SH_DYN_IMRTN	Infant deaths, total (number)	67399	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
8	2000	<1Y	ANNUAL	NUMBER	1	20.06660928	41.13897007	6	ALB	Albania	SH_DYN_IMRTN	Infant deaths, total (number)	1205	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
