geoAreaCode	years	Freq	Sex	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2000	ANNUAL	FEMALE	PER_100000_POP	1	2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	66.02688198	33.83160199	2	AFG	Afghanistan	2.6600001	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
4	2005	ANNUAL	FEMALE	PER_100000_POP	1	2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	66.02688198	33.83160199	2	AFG	Afghanistan	2.6500001	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
4	2010	ANNUAL	FEMALE	PER_100000_POP	1	2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	66.02688198	33.83160199	2	AFG	Afghanistan	2.4400001	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
4	2015	ANNUAL	FEMALE	PER_100000_POP	1	2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	66.02688198	33.83160199	2	AFG	Afghanistan	2.47	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
4	2000	ANNUAL	BOTHSEX	PER_100000_POP	2	2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	66.02688198	33.83160199	2	AFG	Afghanistan	2.02	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
4	2005	ANNUAL	BOTHSEX	PER_100000_POP	2	2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	66.02688198	33.83160199	2	AFG	Afghanistan	1.84	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
4	2010	ANNUAL	BOTHSEX	PER_100000_POP	2	2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	66.02688198	33.83160199	2	AFG	Afghanistan	1.62	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
4	2015	ANNUAL	BOTHSEX	PER_100000_POP	2	2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	66.02688198	33.83160199	2	AFG	Afghanistan	1.58	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
4	2000	ANNUAL	MALE	PER_100000_POP	3	2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	66.02688198	33.83160199	2	AFG	Afghanistan	1.41	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
4	2005	ANNUAL	MALE	PER_100000_POP	3	2017.Q2.G.01	SH_STA_POISN	Mortality rate attributed to unintentional poisonings	66.02688198	33.83160199	2	AFG	Afghanistan	1.09	Float		Global Health Estimates 2015: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2015. Geneva, World Health Organization, 2016.	M
