geoAreaCode	years	Age	Freq	Sex	Units	sliceId	X	Y	OBJECTID	ISO3CD	geoAreaName	series	seriesDescription	value	valueType	time_detail	source	Nature
4	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	66.02688198	33.83160199	2	AFG	Afghanistan							
4	2015	15+	ANNUAL	MALE	PERCENT	2	66.02688198	33.83160199	2	AFG	Afghanistan							
4	2015	15+	ANNUAL	FEMALE	PERCENT	3	66.02688198	33.83160199	2	AFG	Afghanistan							
8	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	20.06660928	41.13897007	6	ALB	Albania	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	29.1	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
8	2015	15+	ANNUAL	MALE	PERCENT	2	20.06660928	41.13897007	6	ALB	Albania	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	51.7	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
8	2015	15+	ANNUAL	FEMALE	PERCENT	3	20.06660928	41.13897007	6	ALB	Albania	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	7.3	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
10	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	15+	ANNUAL	MALE	PERCENT	2	21.47585697	-80.40897662	13	ATA	Antarctica							
10	2015	15+	ANNUAL	FEMALE	PERCENT	3	21.47585697	-80.40897662	13	ATA	Antarctica							
12	2015	15+	ANNUAL	BOTHSEX	PERCENT	1	2.678164227	28.15940032	66	DZA	Algeria	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	15.6	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
12	2015	15+	ANNUAL	MALE	PERCENT	2	2.678164227	28.15940032	66	DZA	Algeria	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	30.2	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
12	2015	15+	ANNUAL	FEMALE	PERCENT	3	2.678164227	28.15940032	66	DZA	Algeria	SH_PRV_SMOK	Prevalence of current tobacco use among persons aged 15 years and older	0.8	Float		World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control	E
