geoAreaCode	years	Age	Freq	Sex	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	2000	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	137	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2001	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	133.8	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2002	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	130.3	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2003	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	126.8	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2004	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	123.2	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2005	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	119.6	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2006	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	116.3	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2007	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	113.2	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2008	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	110.4	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2009	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	107.6	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2010	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	105	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2011	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	102.3	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2012	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	99.5	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2013	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	96.7	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2014	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	93.9	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2015	<5Y	ANNUAL	BOTHSEX	PER_1000_LIVE_BIRTHS	1	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan	91.1	Float		United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.	
4	2000	<5Y	ANNUAL	FEMALE	PER_1000_LIVE_BIRTHS	2	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2001	<5Y	ANNUAL	FEMALE	PER_1000_LIVE_BIRTHS	2	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan					
4	2002	<5Y	ANNUAL	FEMALE	PER_1000_LIVE_BIRTHS	2	2017.Q2.G.01	SH_DYN_MORT	Under-five mortality rate, total and by sex (deaths per 1,000 live births)	66.02688198	33.83160199	2	AFG	Afghanistan					
