geoAreaCode	sliceId	Age	Freq	Sex	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
4	1	25-64	ANNUAL	BOTHSEX	PERCENT	66.02688198	33.83160199	2	AFG	Afghanistan	2007-2011	
4	2	25-64	ANNUAL	MALE	PERCENT	66.02688198	33.83160199	2	AFG	Afghanistan	2007-2011	
4	3	25-64	ANNUAL	FEMALE	PERCENT	66.02688198	33.83160199	2	AFG	Afghanistan	2007-2011	
8	1	25-64	ANNUAL	BOTHSEX	PERCENT	20.06660928	41.13897007	6	ALB	Albania	2007-2011	
8	2	25-64	ANNUAL	MALE	PERCENT	20.06660928	41.13897007	6	ALB	Albania	2007-2011	
8	3	25-64	ANNUAL	FEMALE	PERCENT	20.06660928	41.13897007	6	ALB	Albania	2007-2011	
10	1	25-64	ANNUAL	BOTHSEX	PERCENT	21.47585697	-80.40897662	13	ATA	Antarctica	2007-2011	
10	2	25-64	ANNUAL	MALE	PERCENT	21.47585697	-80.40897662	13	ATA	Antarctica	2007-2011	
10	3	25-64	ANNUAL	FEMALE	PERCENT	21.47585697	-80.40897662	13	ATA	Antarctica	2007-2011	
12	1	25-64	ANNUAL	BOTHSEX	PERCENT	2.678164227	28.15940032	66	DZA	Algeria	2007-2011	
12	2	25-64	ANNUAL	MALE	PERCENT	2.678164227	28.15940032	66	DZA	Algeria	2007-2011	
12	3	25-64	ANNUAL	FEMALE	PERCENT	2.678164227	28.15940032	66	DZA	Algeria	2007-2011	
16	1	25-64	ANNUAL	BOTHSEX	PERCENT	-170.7187269	-14.30587306	12	ASM	American Samoa	2007-2011	
16	2	25-64	ANNUAL	MALE	PERCENT	-170.7187269	-14.30587306	12	ASM	American Samoa	2007-2011	
16	3	25-64	ANNUAL	FEMALE	PERCENT	-170.7187269	-14.30587306	12	ASM	American Samoa	2007-2011	
20	1	25-64	ANNUAL	BOTHSEX	PERCENT	1.576257417	42.54548611	7	AND	Andorra	2007-2011	
20	2	25-64	ANNUAL	MALE	PERCENT	1.576257417	42.54548611	7	AND	Andorra	2007-2011	
20	3	25-64	ANNUAL	FEMALE	PERCENT	1.576257417	42.54548611	7	AND	Andorra	2007-2011	
24	1	25-64	ANNUAL	BOTHSEX	PERCENT	17.57817062	-12.33724746	3	AGO	Angola	2007-2011	
24	2	25-64	ANNUAL	MALE	PERCENT	17.57817062	-12.33724746	3	AGO	Angola	2007-2011	
24	3	25-64	ANNUAL	FEMALE	PERCENT	17.57817062	-12.33724746	3	AGO	Angola	2007-2011	
28	1	25-64	ANNUAL	BOTHSEX	PERCENT	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2007-2011	
28	2	25-64	ANNUAL	MALE	PERCENT	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2007-2011	
28	3	25-64	ANNUAL	FEMALE	PERCENT	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2007-2011	
31	1	25-64	ANNUAL	BOTHSEX	PERCENT	50.01064725	40.39229544	19	AZE	Azerbaijan	2007-2011	
31	2	25-64	ANNUAL	MALE	PERCENT	50.01064725	40.39229544	19	AZE	Azerbaijan	2007-2011	
31	3	25-64	ANNUAL	FEMALE	PERCENT	50.01064725	40.39229544	19	AZE	Azerbaijan	2007-2011	
32	1	25-64	ANNUAL	BOTHSEX	PERCENT	-65.14563274	-35.19446255	10	ARG	Argentina	2007-2011	
32	2	25-64	ANNUAL	MALE	PERCENT	-65.14563274	-35.19446255	10	ARG	Argentina	2007-2011	
32	3	25-64	ANNUAL	FEMALE	PERCENT	-65.14563274	-35.19446255	10	ARG	Argentina	2007-2011	
36	1	25-64	ANNUAL	BOTHSEX	PERCENT	134.3499412	-25.57717202	17	AUS	Australia	2007-2011	
36	2	25-64	ANNUAL	MALE	PERCENT	134.3499412	-25.57717202	17	AUS	Australia	2007-2011	
36	3	25-64	ANNUAL	FEMALE	PERCENT	134.3499412	-25.57717202	17	AUS	Australia	2007-2011	
40	1	25-64	ANNUAL	BOTHSEX	PERCENT	14.14172472	47.58704857	18	AUT	Austria	2007-2011	45.05
40	2	25-64	ANNUAL	MALE	PERCENT	14.14172472	47.58704857	18	AUT	Austria	2007-2011	46.35
40	3	25-64	ANNUAL	FEMALE	PERCENT	14.14172472	47.58704857	18	AUT	Austria	2007-2011	43.75
44	1	25-64	ANNUAL	BOTHSEX	PERCENT	-78.05111663	24.69546597	27	BHS	Bahamas	2007-2011	
44	2	25-64	ANNUAL	MALE	PERCENT	-78.05111663	24.69546597	27	BHS	Bahamas	2007-2011	
44	3	25-64	ANNUAL	FEMALE	PERCENT	-78.05111663	24.69546597	27	BHS	Bahamas	2007-2011	
48	1	25-64	ANNUAL	BOTHSEX	PERCENT	50.5490754	26.04407747	26	BHR	Bahrain	2007-2011	
48	2	25-64	ANNUAL	MALE	PERCENT	50.5490754	26.04407747	26	BHR	Bahrain	2007-2011	
48	3	25-64	ANNUAL	FEMALE	PERCENT	50.5490754	26.04407747	26	BHR	Bahrain	2007-2011	
50	1	25-64	ANNUAL	BOTHSEX	PERCENT	89.17660788	22.86961622	24	BGD	Bangladesh	2007-2011	
50	2	25-64	ANNUAL	MALE	PERCENT	89.17660788	22.86961622	24	BGD	Bangladesh	2007-2011	
50	3	25-64	ANNUAL	FEMALE	PERCENT	89.17660788	22.86961622	24	BGD	Bangladesh	2007-2011	
51	1	25-64	ANNUAL	BOTHSEX	PERCENT	44.93839317	40.29499741	11	ARM	Armenia	2007-2011	
51	2	25-64	ANNUAL	MALE	PERCENT	44.93839317	40.29499741	11	ARM	Armenia	2007-2011	
51	3	25-64	ANNUAL	FEMALE	PERCENT	44.93839317	40.29499741	11	ARM	Armenia	2007-2011	
52	1	25-64	ANNUAL	BOTHSEX	PERCENT	-59.5346489	13.13648273	35	BRB	Barbados	2007-2011	
52	2	25-64	ANNUAL	MALE	PERCENT	-59.5346489	13.13648273	35	BRB	Barbados	2007-2011	
52	3	25-64	ANNUAL	FEMALE	PERCENT	-59.5346489	13.13648273	35	BRB	Barbados	2007-2011	
56	1	25-64	ANNUAL	BOTHSEX	PERCENT	4.660976456	50.64104975	21	BEL	Belgium	2007-2011	39.1
56	2	25-64	ANNUAL	MALE	PERCENT	4.660976456	50.64104975	21	BEL	Belgium	2007-2011	39.9
56	3	25-64	ANNUAL	FEMALE	PERCENT	4.660976456	50.64104975	21	BEL	Belgium	2007-2011	38.35
60	1	25-64	ANNUAL	BOTHSEX	PERCENT	-64.78155012	32.27881922	32	BMU	Bermuda	2007-2011	
60	2	25-64	ANNUAL	MALE	PERCENT	-64.78155012	32.27881922	32	BMU	Bermuda	2007-2011	
60	3	25-64	ANNUAL	FEMALE	PERCENT	-64.78155012	32.27881922	32	BMU	Bermuda	2007-2011	
64	1	25-64	ANNUAL	BOTHSEX	PERCENT	90.45098484	27.39598568	37	BTN	Bhutan	2007-2011	
64	2	25-64	ANNUAL	MALE	PERCENT	90.45098484	27.39598568	37	BTN	Bhutan	2007-2011	
64	3	25-64	ANNUAL	FEMALE	PERCENT	90.45098484	27.39598568	37	BTN	Bhutan	2007-2011	
68	1	25-64	ANNUAL	BOTHSEX	PERCENT	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2007-2011	
68	2	25-64	ANNUAL	MALE	PERCENT	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2007-2011	
68	3	25-64	ANNUAL	FEMALE	PERCENT	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2007-2011	
70	1	25-64	ANNUAL	BOTHSEX	PERCENT	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2007-2011	
70	2	25-64	ANNUAL	MALE	PERCENT	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2007-2011	
70	3	25-64	ANNUAL	FEMALE	PERCENT	17.78584332	44.16845548	28	BIH	Bosnia and Herzegovina	2007-2011	
72	1	25-64	ANNUAL	BOTHSEX	PERCENT	23.81380223	-22.18810073	39	BWA	Botswana	2007-2011	
72	2	25-64	ANNUAL	MALE	PERCENT	23.81380223	-22.18810073	39	BWA	Botswana	2007-2011	
72	3	25-64	ANNUAL	FEMALE	PERCENT	23.81380223	-22.18810073	39	BWA	Botswana	2007-2011	
74	1	25-64	ANNUAL	BOTHSEX	PERCENT	3.410732868	-54.43295905	38	BVT	Bouvet Island	2007-2011	
74	2	25-64	ANNUAL	MALE	PERCENT	3.410732868	-54.43295905	38	BVT	Bouvet Island	2007-2011	
74	3	25-64	ANNUAL	FEMALE	PERCENT	3.410732868	-54.43295905	38	BVT	Bouvet Island	2007-2011	
76	1	25-64	ANNUAL	BOTHSEX	PERCENT	-53.08432878	-10.77668561	34	BRA	Brazil	2007-2011	
76	2	25-64	ANNUAL	MALE	PERCENT	-53.08432878	-10.77668561	34	BRA	Brazil	2007-2011	
76	3	25-64	ANNUAL	FEMALE	PERCENT	-53.08432878	-10.77668561	34	BRA	Brazil	2007-2011	
84	1	25-64	ANNUAL	BOTHSEX	PERCENT	-88.70199554	17.19965901	31	BLZ	Belize	2007-2011	
84	2	25-64	ANNUAL	MALE	PERCENT	-88.70199554	17.19965901	31	BLZ	Belize	2007-2011	
84	3	25-64	ANNUAL	FEMALE	PERCENT	-88.70199554	17.19965901	31	BLZ	Belize	2007-2011	
86	1	25-64	ANNUAL	BOTHSEX	PERCENT	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory	2007-2011	
86	2	25-64	ANNUAL	MALE	PERCENT	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory	2007-2011	
86	3	25-64	ANNUAL	FEMALE	PERCENT	72.38715553	-7.299281071	107	IOT	British Indian Ocean Territory	2007-2011	
90	1	25-64	ANNUAL	BOTHSEX	PERCENT	160.1584117	-9.622391719	204	SLB	Solomon Islands	2007-2011	
90	2	25-64	ANNUAL	MALE	PERCENT	160.1584117	-9.622391719	204	SLB	Solomon Islands	2007-2011	
90	3	25-64	ANNUAL	FEMALE	PERCENT	160.1584117	-9.622391719	204	SLB	Solomon Islands	2007-2011	
92	1	25-64	ANNUAL	BOTHSEX	PERCENT	-64.63294223	18.42256578	254	VGB	British Virgin Islands	2007-2011	
