geoAreaCode	sliceId	Freq	Location	Units	X	Y	OBJECTID	ISO3CD	geoAreaName	years	value
4	1	ANNUAL	ALLAREA	mgr/m^3	66.02688198	33.83160199	2	AFG	Afghanistan	2008-2012	46.0451502632342
4	2	ANNUAL	URBAN	mgr/m^3	66.02688198	33.83160199	2	AFG	Afghanistan	2008-2012	63.4057141122223
8	1	ANNUAL	ALLAREA	mgr/m^3	20.06660928	41.13897007	6	ALB	Albania	2008-2012	15.9270894603884
8	2	ANNUAL	URBAN	mgr/m^3	20.06660928	41.13897007	6	ALB	Albania	2008-2012	17.0763629278075
10	1	ANNUAL	ALLAREA	mgr/m^3	21.47585697	-80.40897662	13	ATA	Antarctica	2008-2012	
10	2	ANNUAL	URBAN	mgr/m^3	21.47585697	-80.40897662	13	ATA	Antarctica	2008-2012	
12	1	ANNUAL	ALLAREA	mgr/m^3	2.678164227	28.15940032	66	DZA	Algeria	2008-2012	26.5435795747094
12	2	ANNUAL	URBAN	mgr/m^3	2.678164227	28.15940032	66	DZA	Algeria	2008-2012	25.1337169695005
16	1	ANNUAL	ALLAREA	mgr/m^3	-170.7187269	-14.30587306	12	ASM	American Samoa	2008-2012	
16	2	ANNUAL	URBAN	mgr/m^3	-170.7187269	-14.30587306	12	ASM	American Samoa	2008-2012	
20	1	ANNUAL	ALLAREA	mgr/m^3	1.576257417	42.54548611	7	AND	Andorra	2008-2012	10.3732813401948
20	2	ANNUAL	URBAN	mgr/m^3	1.576257417	42.54548611	7	AND	Andorra	2008-2012	10.5357236321548
24	1	ANNUAL	ALLAREA	mgr/m^3	17.57817062	-12.33724746	3	AGO	Angola	2008-2012	27.3507810301133
24	2	ANNUAL	URBAN	mgr/m^3	17.57817062	-12.33724746	3	AGO	Angola	2008-2012	42.3815976978433
28	1	ANNUAL	ALLAREA	mgr/m^3	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2008-2012	12.9915930925817
28	2	ANNUAL	URBAN	mgr/m^3	-61.7999755	17.07761471	15	ATG	Antigua and Barbuda	2008-2012	12.9999989158205
31	1	ANNUAL	ALLAREA	mgr/m^3	50.01064725	40.39229544	19	AZE	Azerbaijan	2008-2012	23.7691926558027
31	2	ANNUAL	URBAN	mgr/m^3	50.01064725	40.39229544	19	AZE	Azerbaijan	2008-2012	26.3322777132609
32	1	ANNUAL	ALLAREA	mgr/m^3	-65.14563274	-35.19446255	10	ARG	Argentina	2008-2012	13.0394496935376
32	2	ANNUAL	URBAN	mgr/m^3	-65.14563274	-35.19446255	10	ARG	Argentina	2008-2012	14.398438870126
36	1	ANNUAL	ALLAREA	mgr/m^3	134.3499412	-25.57717202	17	AUS	Australia	2008-2012	5.72366170194407
36	2	ANNUAL	URBAN	mgr/m^3	134.3499412	-25.57717202	17	AUS	Australia	2008-2012	5.79477010670615
40	1	ANNUAL	ALLAREA	mgr/m^3	14.14172472	47.58704857	18	AUT	Austria	2008-2012	16.0061238900993
40	2	ANNUAL	URBAN	mgr/m^3	14.14172472	47.58704857	18	AUT	Austria	2008-2012	17.0837802925857
44	1	ANNUAL	ALLAREA	mgr/m^3	-78.05111663	24.69546597	27	BHS	Bahamas	2008-2012	12.6500082420669
44	2	ANNUAL	URBAN	mgr/m^3	-78.05111663	24.69546597	27	BHS	Bahamas	2008-2012	12.5788707618588
48	1	ANNUAL	ALLAREA	mgr/m^3	50.5490754	26.04407747	26	BHR	Bahrain	2008-2012	60.0056718926383
48	2	ANNUAL	URBAN	mgr/m^3	50.5490754	26.04407747	26	BHR	Bahrain	2008-2012	60.0897597893089
50	1	ANNUAL	ALLAREA	mgr/m^3	89.17660788	22.86961622	24	BGD	Bangladesh	2008-2012	83.5259095751159
50	2	ANNUAL	URBAN	mgr/m^3	89.17660788	22.86961622	24	BGD	Bangladesh	2008-2012	88.7626186928239
51	1	ANNUAL	ALLAREA	mgr/m^3	44.93839317	40.29499741	11	ARM	Armenia	2008-2012	20.7325152287824
51	2	ANNUAL	URBAN	mgr/m^3	44.93839317	40.29499741	11	ARM	Armenia	2008-2012	24.9520297575859
52	1	ANNUAL	ALLAREA	mgr/m^3	-59.5346489	13.13648273	35	BRB	Barbados	2008-2012	14.0000009551801
52	2	ANNUAL	URBAN	mgr/m^3	-59.5346489	13.13648273	35	BRB	Barbados	2008-2012	14.0000009551801
56	1	ANNUAL	ALLAREA	mgr/m^3	4.660976456	50.64104975	21	BEL	Belgium	2008-2012	15.4999725786135
56	2	ANNUAL	URBAN	mgr/m^3	4.660976456	50.64104975	21	BEL	Belgium	2008-2012	15.9249681120365
60	1	ANNUAL	ALLAREA	mgr/m^3	-64.78155012	32.27881922	32	BMU	Bermuda	2008-2012	
60	2	ANNUAL	URBAN	mgr/m^3	-64.78155012	32.27881922	32	BMU	Bermuda	2008-2012	
64	1	ANNUAL	ALLAREA	mgr/m^3	90.45098484	27.39598568	37	BTN	Bhutan	2008-2012	48.3409854821861
64	2	ANNUAL	URBAN	mgr/m^3	90.45098484	27.39598568	37	BTN	Bhutan	2008-2012	38.9999975209909
68	1	ANNUAL	ALLAREA	mgr/m^3	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2008-2012	27.1256027222719
68	2	ANNUAL	URBAN	mgr/m^3	-64.66224284	-16.71273412	33	BOL	Bolivia (Plurinational State of)	2008-2012	31.6468747063654
