series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Location	Sex	Units	Bounds	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	4	66.02688198	33.83160199	AFG	Afghanistan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	1950	1930	1920	1890	1860	1810	1760	1720	1670	1620	1570	1500	1430	1340	1260	1180	1120	1040	981	923	867	809	752	701	659	620	708.2	2015	620	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	4	66.02688198	33.83160199	AFG	Afghanistan	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	878	871	875	871	865	841	822	805	783	770	745	714	680	644	601	561	528	493	459	424	391	356	325	297	272	253	300.6	2015	253	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	4	66.02688198	33.83160199	AFG	Afghanistan	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	1340	1330	1330	1320	1300	1270	1240	1200	1160	1130	1100	1050	996	941	881	821	776	724	676	631	584	536	496	459	425	396	462.4	2015	396	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	8	20.06660928	41.13897007	ALB	Albania	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	88	85	79	76	60	64	62	63	58	54	56	52	49	47	42	42	42	43	44	45	45	46	46	46	46	46	46	2015	46	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	8	20.06660928	41.13897007	ALB	Albania	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	58	57	54	52	41	43	41	41	36	33	33	30	27	26	22	21	20	20	19	19	19	18	18	17	16	16	17	2015	16	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	8	20.06660928	41.13897007	ALB	Albania	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	71	69	65	63	49	53	50	51	46	42	43	40	37	35	31	30	29	30	30	30	30	30	30	29	29	29	29.4	2015	29	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	10	21.47585697	-80.40897662	ATA	Antarctica	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	10	21.47585697	-80.40897662	ATA	Antarctica	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	10	21.47585697	-80.40897662	ATA	Antarctica	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	12	2.678164227	28.15940032	DZA	Algeria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	327	315	304	295	287	279	270	260	253	246	241	236	232	229	228	228	230	236	239	240	243	242	242	244	243	244	243	2015	244	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	12	2.678164227	28.15940032	DZA	Algeria	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	141	138	138	137	134	133	132	128	126	122	118	112	107	103	100	98	96	95	93	93	91	90	88	86	84	82	86	2015	82	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	12	2.678164227	28.15940032	DZA	Algeria	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	216	210	205	201	196	192	189	184	179	174	170	164	158	153	150	148	147	148	148	148	147	147	145	144	141	140	143.4	2015	140	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	16	-170.7187269	-14.30587306	ASM	American Samoa	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	16	-170.7187269	-14.30587306	ASM	American Samoa	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	16	-170.7187269	-14.30587306	ASM	American Samoa	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	20	1.576257417	42.54548611	AND	Andorra	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	20	1.576257417	42.54548611	AND	Andorra	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	20	1.576257417	42.54548611	AND	Andorra	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	24	17.57817062	-12.33724746	AGO	Angola	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	2020	2040	2060	2090	2080	2050	2010	1960	1890	1830	1730	1640	1570	1510	1440	1370	1300	1250	1190	1150	1120	1080	1050	1020	1010	988	1029.6	2015	988	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	24	17.57817062	-12.33724746	AGO	Angola	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	627	629	631	626	616	594	572	548	523	497	472	446	421	398	376	352	332	314	296	282	272	261	251	239	227	221	239.8	2015	221	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	24	17.57817062	-12.33724746	AGO	Angola	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	1160	1160	1180	1180	1180	1150	1120	1070	1030	981	924	878	831	789	749	705	668	640	606	581	561	546	526	509	493	477	510.2	2015	477	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP																															
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	31	50.01064725	40.39229544	AZE	Azerbaijan	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	74	74	95	94	105	99	89	84	75	69	55	48	44	44	38	41	35	35	35	34	35	34	33	34	35	35	34.2	2015	35	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	31	50.01064725	40.39229544	AZE	Azerbaijan	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	56	56	72	72	81	76	68	64	58	53	42	37	33	32	27	28	24	22	22	20	20	19	18	18	17	17	17.8	2015	17	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	31	50.01064725	40.39229544	AZE	Azerbaijan	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	64	65	83	82	92	86	77	73	66	61	48	43	38	38	32	34	30	29	28	27	27	26	25	25	26	25	25.4	2015	25	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	32	-65.14563274	-35.19446255	ARG	Argentina	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	80	78	76	72	71	69	69	70	67	68	65	67	66	68	65	66	64	66	65	70	66	64	64	63	64	63	63.6	2015	63	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	32	-65.14563274	-35.19446255	ARG	Argentina	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	64	63	62	58	58	56	56	57	55	55	54	55	54	55	53	52	51	52	51	55	51	50	48	47	46	44	47	2015	44	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	32	-65.14563274	-35.19446255	ARG	Argentina	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	72	71	69	65	64	63	63	64	61	62	60	61	60	61	59	58	57	58	57	62	58	56	55	54	54	52	54.2	2015	52	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	36	134.3499412	-25.57717202	AUS	Australia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	9	9	9	9	9	9	9	9	9	10	10	9	9	9	8	8	8	8	7	7	7	7	7	7	7	7	7	2015	7	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	36	134.3499412	-25.57717202	AUS	Australia	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	7	7	7	7	7	7	7	8	8	8	8	7	7	7	7	6	6	6	6	6	6	6	5	5	5	5	5.2	2015	5	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	36	134.3499412	-25.57717202	AUS	Australia	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	8	8	8	8	8	8	8	9	8	9	9	8	8	8	7	7	7	7	7	7	6	7	6	6	6	6	6.2	2015	6	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	40	14.14172472	47.58704857	AUT	Austria	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	10	9	9	9	8	7	7	6	6	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	2015	5	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	40	14.14172472	47.58704857	AUT	Austria	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	7	7	7	6	6	5	5	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	2015	3	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	40	14.14172472	47.58704857	AUT	Austria	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	8	8	8	7	7	6	6	5	5	5	5	5	5	5	4	5	4	4	4	4	4	4	4	4	4	4	4	2015	4	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	44	-78.05111663	24.69546597	BHS	Bahamas	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	61	60	58	57	59	61	64	67	67	71	74	79	83	89	91	95	99	101	107	104	112	113	113	116	123	124	117.8	2015	124	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	44	-78.05111663	24.69546597	BHS	Bahamas	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	34	35	35	35	37	40	42	45	46	49	50	54	56	59	57	59	61	61	64	61	65	65	60	57	56	53	58.2	2015	53	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	44	-78.05111663	24.69546597	BHS	Bahamas	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	46	46	45	45	47	49	52	54	55	58	61	64	67	71	71	74	78	78	82	80	85	86	82	81	83	80	82.4	2015	80	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	48	50.5490754	26.04407747	BHR	Bahrain	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	33	32	31	28	28	27	27	27	26	26	26	25	25	24	24	24	23	22	21	20	20	19	19	19	19	19	19	2015	19	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	48	50.5490754	26.04407747	BHR	Bahrain	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	20	19	19	18	18	18	18	18	18	18	18	18	17	17	17	17	16	15	14	14	13	13	13	13	12	12	12.6	2015	12	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	48	50.5490754	26.04407747	BHR	Bahrain	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	26	25	25	23	22	22	22	22	22	22	21	21	21	20	20	20	19	18	17	17	16	16	16	15	15	15	15.4	2015	15	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	50	89.17660788	22.86961622	BGD	Bangladesh	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	715	689	660	633	609	589	566	546	529	511	496	485	471	456	440	428	412	397	378	360	344	330	316	302	291	280	303.8	2015	280	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	50	89.17660788	22.86961622	BGD	Bangladesh	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	446	435	422	413	399	388	379	368	355	339	322	307	291	276	261	247	233	222	208	196	183	169	156	145	134	125	145.8	2015	125	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	50	89.17660788	22.86961622	BGD	Bangladesh	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	569	550	531	511	495	479	462	446	432	415	399	384	365	349	333	319	303	288	273	258	242	228	214	201	188	176	201.4	2015	176	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	51	44.93839317	40.29499741	ARM	Armenia	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	65	54	62	65	57	57	58	53	53	46	46	45	52	50	48	47	47	41	46	43	40	37	35	33	32	31	33.6	2015	31	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	51	44.93839317	40.29499741	ARM	Armenia	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	51	42	49	51	45	44	45	41	41	35	35	35	39	37	36	35	35	30	34	31	28	26	25	23	22	21	23.4	2015	21	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	51	44.93839317	40.29499741	ARM	Armenia	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	58	48	55	57	50	50	51	46	46	40	40	39	45	43	41	40	40	35	39	36	33	31	30	28	26	25	28	2015	25	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	52	-59.5346489	13.13648273	BRB	Barbados	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	72	65	65	65	69	61	54	56	58	61	58	56	57	57	58	49	44	48	46	43	42	40	38	37	37	37	37.8	2015	37	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	52	-59.5346489	13.13648273	BRB	Barbados	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	47	42	43	43	46	40	36	36	38	40	38	36	37	37	37	31	27	29	28	26	25	23	21	20	19	19	20.4	2015	19	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	52	-59.5346489	13.13648273	BRB	Barbados	3	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	MP	58	52	52	52	56	49	44	45	47	50	48	46	46	46	47	40	36	38	36	34	33	31	29	28	28	27	28.6	2015	27	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Full report and data files available at: http://www.who.int/reproductivehealth/publications/monitoring/maternal-mortality-2015/en/"	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	56	4.660976456	50.64104975	BEL	Belgium	1	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	UB	10	10	10	10	11	11	11	11	11	11	11	10	10	9	9	9	9	9	9	9	9	10	9	10	10	10	9.8	2015	10	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
2017.Q2.G.01	SH_STA_MORT	Maternal mortality ratio	56	4.660976456	50.64104975	BEL	Belgium	2	ALLAGE	ANNUAL	ALLAREA	BOTHSEX	PER_100000_LIVE_BIRTHS	LB	7	7	7	8	8	8	8	8	8	8	8	8	7	7	6	7	6	7	7	6	6	6	5	6	6	5	5.6	2015	5	Estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division.	E
