series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	last.5.years.mean	latest.year	latest.value	latest.source
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	4	66.02688198	33.83160199	AFG	Afghanistan	1	<1M	ANNUAL	NUMBER	42488	42876	43497	43979	44213	43987	44007	43856	43469	42791	42311	41052	39588	38263	37038	36242	38436.6	2015	36242	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	8	20.06660928	41.13897007	ALB	Albania	1	<1M	ANNUAL	NUMBER	585	544	503	458	412	372	331	297	271	254	244	246	260	275	282	279	268.4	2015	279	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	10	21.47585697	-80.40897662	ATA	Antarctica	1	<1M	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	12	2.678164227	28.15940032	DZA	Algeria	1	<1M	ANNUAL	NUMBER	11908	11743	11769	11978	12342	12811	13301	13949	14482	15013	15299	15474	15456	15340	15138	14773	15236.2	2015	14773	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	16	-170.7187269	-14.30587306	ASM	American Samoa	1	<1M	ANNUAL	NUMBER																				
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	20	1.576257417	42.54548611	AND	Andorra	1	<1M	ANNUAL	NUMBER	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2015	1	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	24	17.57817062	-12.33724746	AGO	Angola	1	<1M	ANNUAL	NUMBER	43116	44214	45094	46400	47568	48603	49499	50458	50990	51640	52107	52434	52604	52860	53041	53164	52820.6	2015	53164	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	28	-61.7999755	17.07761471	ATG	Antigua and Barbuda	1	<1M	ANNUAL	NUMBER	15	15	14	13	12	11	11	10	10	9	9	9	8	8	8	7	8	2015	7	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	31	50.01064725	40.39229544	AZE	Azerbaijan	1	<1M	ANNUAL	NUMBER	4176	3905	3712	3604	3531	3494	3445	3418	3410	3465	3597	3829	4123	4350	4401	4267	4194	2015	4267	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	32	-65.14563274	-35.19446255	ARG	Argentina	1	<1M	ANNUAL	NUMBER	7807	7781	7595	7341	7113	6965	6660	6379	6001	5715	5470	5273	5179	5096	4923	4797	5053.6	2015	4797	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	36	134.3499412	-25.57717202	AUS	Australia	1	<1M	ANNUAL	NUMBER	853	847	822	828	818	843	850	865	879	883	871	811	770	725	685	657	729.6	2015	657	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
2017.Q2.G.01	SH_DYN_NMRTN	Neonatal deaths, total (number)	40	14.14172472	47.58704857	AUT	Austria	1	<1M	ANNUAL	NUMBER	225	222	220	229	229	226	227	217	205	202	193	187	189	184	179	173	182.4	2015	173	United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2015.
